"","GSM901319","GSM901320","GSM901321","GSM901322","GSM901323","GSM901324","GSM901325","GSM901326","GSM901327","GSM901328","GSM901329","GSM901330","GSM901331","GSM901332","GSM901333","GSM901334","GSM901335","GSM901336","GSM901337","GSM901338","GSM901339","GSM901340","GSM901341","GSM901342","GSM901343","GSM901344","GSM901345","GSM901346","GSM901347","GSM901348","GSM901349","GSM901350","GSM901351","GSM901352","GSM901353"
"CXCL1",6.27158794172128,5.75479512959552,5.55758983566018,5.98727873481635,7.63941163365067,5.35436455114731,5.61856849455315,5.42768659558495,10.6424682416014,8.81855646038327,8.53716423475337,5.75049777633218,5.43210769566228,7.31283402136726,10.7547687947566,5.50180795800178,9.30072245083626,5.15704139859753,5.19439035148797,11.5758210251312,10.9426003093685,6.02101449577583,9.78999858764339,10.3160720880233,7.40435375430669,11.0348004521815,10.1291086038078,9.960341567037,10.2962767823925,11.0154183292253,10.7145382760066,10.4561090852583,9.90232224368077,7.95152720417351,7.25378834286856
"CXCL10",6.74753393057194,6.47212803237363,6.1342824705454,5.18457688465673,6.39433013879816,5.57320260088519,5.18415282409139,5.84559481545255,10.6480610798701,9.16199454513382,7.71794059215082,7.07588004002357,4.72501475320526,7.47650397041678,10.2727616065758,7.39408039491428,9.51827430748295,5.40379334272376,4.66796715768004,9.68103536692009,10.7220312224678,6.13854194142589,11.2324553120238,9.04224222216916,8.61483633168202,10.1587377408641,6.82573005207293,7.43707323908391,9.36197176374372,10.5586550390083,9.34504398462751,9.30443819854075,11.1675883921107,7.1404433125468,8.21194154606522
"CXCL11",4.01705290675983,3.92625553871907,3.23905918416256,3.25345481166217,3.43013774700434,3.2784318664941,3.22413976335847,3.07945579450239,9.22967966377758,6.40026102301804,8.2948402440397,3.75852547148904,3.13192901163707,4.12827545288647,7.8411745365441,3.78292743771412,5.89151238317173,3.3530763794924,2.89699934946663,7.82050824452376,9.99780800108935,3.3497233010362,9.79789188045041,7.87586865104886,5.51941223048096,7.78415442059839,4.54295456464578,7.67519539382268,7.99886538335607,10.3167355484463,6.88277148988422,7.85095704938954,10.5516870080036,4.79297674475584,4.54536724607648
"CXCL12",9.14677433549139,8.60968908464292,8.37118357094217,8.33440398091029,8.73421850606906,7.99940912034933,8.22043446618347,7.36668856470506,7.74468770809731,8.80985054023667,8.60180850528196,7.86710648832914,7.2408533031959,7.74679773460496,9.14027030482219,8.30183910330576,7.33990512417495,7.98554363708935,8.18953228680725,8.19403936792987,9.43557762064402,8.4378279938048,8.66684905676447,8.66233144982918,7.89916128072542,8.23774844914504,7.22057844031544,8.47510786906055,8.95761573157516,8.74552454764103,7.80499674619668,8.51080165231768,8.03029231609094,8.28005094933303,8.24986697510859
"CXCL13",9.87186222478488,8.49342433387035,3.26029288885788,8.48363500240974,9.05025677319374,6.49957164832781,5.75752128402466,3.28134271951863,6.97940553529444,7.42709172583249,6.2062251835842,3.12618815435187,3.59343019160152,5.80761876624561,11.7298410729333,8.01806456376597,7.95978381048937,3.34619131407593,2.8096702050566,10.7116003770203,12.6688279832909,7.83730388222954,9.72653906041642,10.8612431115918,5.20804315664001,12.035308647612,5.21472767661391,9.51316112737183,12.022527575657,11.3213310767752,9.8077601839639,9.70172484983036,11.2152369209031,8.37903883774882,8.32306165843367
"CXCL14",11.8032597150347,11.5518635407436,11.3316940699257,11.7310517564615,11.5345267244952,11.4441806817538,11.8120007559284,10.761616293404,12.0332742174535,11.7049313480733,10.4306519265648,11.5793006132187,10.8492496643004,11.0286407218827,11.8735861308145,11.290999182777,10.8715721090329,11.450795012767,11.7904184163345,11.6965327234603,10.1684182590964,11.3707722709097,11.6701277913037,11.7317374454894,11.8107777820358,11.3226999282817,11.0004875049617,10.7953836690171,10.9495590990963,11.7519134926865,11.1455241763823,10.7515066063408,9.32886348499051,11.3790055411818,12.2471741958303
"CXCL16",7.63495749038779,7.54158826963144,7.70752754019229,7.02204899037596,7.31803953001277,7.29021356823957,7.45651453095078,6.88280755717562,7.58682466744652,7.97629098218747,8.60744296108295,7.01012864752302,6.61833583316376,7.33920658896903,7.505429999365,7.39775224015915,7.04232987381848,7.11932246169891,7.15023582039619,7.64386033536299,8.2769713490419,7.18350414692663,8.04686152722398,7.9029853975255,8.01380962049009,7.62516236440194,7.68389575500842,8.36311294973012,8.47673336917672,8.36482694067187,7.62044234113428,8.10020518738559,8.29599900947948,7.81234619602888,8.76967973326211
"CXCL17",5.0664416007174,5.11695334214139,5.01802991241115,5.18457688465673,5.07519042788393,5.31194824094331,5.06450884087271,5.19731036661996,5.38707961123462,5.02389303299975,5.38949331170977,5.40642674814758,5.09757424652086,5.15142513651614,5.13881554065599,5.21768669779528,5.1411892798634,5.20510716944127,4.92217347186722,4.92158296541134,5.053578981588,4.91485288162012,4.9386840967094,5.76110130907002,5.2464095439054,5.68053342709092,5.77937322695016,5.59256960746944,5.38195794056005,5.35143732977278,5.93957979944632,5.49042695706532,5.41972810657493,5.06575718228489,5.03591311072188
"CXCL2",5.49776638023258,4.02555180314247,4.31621675450697,5.00871425907728,4.61522769793489,4.43716309671835,3.71613235790918,3.87000203254473,7.0631627103396,5.2626562470342,5.11778140618742,4.20844592260723,4.09187685075057,4.94919142426931,7.02462885473345,4.02959937710212,6.3640715031319,4.04943270539596,3.76764813183044,7.38644534982268,6.49425710897826,4.59272361819585,6.12636207016763,6.0921186732866,4.96619087737752,6.80960042095344,6.37216858599081,5.81307566483147,6.18701336479275,6.68637368512089,6.61553783625954,6.32017023670231,6.28335897709418,5.22748666038355,5.43077719460633
"CXCL3",6.9286782223276,5.32267767087505,5.61423413493427,6.38478459390502,5.71862063502811,5.53964241750895,4.78946859552348,4.50885226382074,10.2294872101829,7.39637026569823,6.99718762511436,5.49631972175753,4.69528869717908,6.87725561553237,10.4840596691955,5.18768709887061,8.8932755082826,5.30387390787176,5.67472267246682,10.5663478209952,8.9818171290419,6.29943656618648,8.74042897301723,9.43529313528298,6.38964983410489,10.1367234159836,9.12351530155046,9.00121407336552,9.20799916486732,9.93062581192678,9.17345151824394,9.18395122084093,9.11491600802422,7.77181101181115,6.09560160260002
